Age,Gender,College_Tier,Specialization,CGPA,DSA_Problems_Solved,Internships,Certifications,Projects_Count,Communication_Skills,Aptitude_Test_Score,LeetCode_Rating,GitHub_Contributions,Hackathons_Participated,AI_ML_Skill_Level,System_Design_Knowledge,Resume_Score,Mock_Interview_Score,Placement_Status,Salary_LPA
22,Other,Tier 3,Mechanical,5.4,5,1,4,1,54,85,1466,140,0,1,4,64,62,1,7.51
20,Female,Tier 2,Computer Science,7.84,0,0,6,3,48,83,1426,23,8,4,9,80,80,1,10.17
19,Female,Tier 3,Computer Science,7.25,120,1,7,2,95,75,1315,200,6,10,7,90,88,1,12.35
22,Male,Tier 2,Electronics,8.04,80,0,9,8,93,81,1635,235,1,7,2,60,90,1,7.59
24,Other,Tier 1,Data Science,6.4,336,1,5,4,61,56,1378,149,1,9,2,78,100,1,11.31
21,Female,Tier 2,Data Science,7.29,226,2,2,4,46,53,1858,140,4,4,3,83,54,1,13.11
19,Male,Tier 3,Information Technology,6.79,176,1,9,10,68,76,1298,151,5,3,8,49,95,1,10.19
25,Other,Tier 2,Electronics,7.49,561,2,5,9,44,74,1754,93,7,8,1,48,82,1,16.19
22,Male,Tier 3,Data Science,6.79,0,0,9,9,64,94,1097,0,8,1,8,96,59,1,9.03
23,Other,Tier 2,AI/ML,7.22,501,4,7,2,91,78,1564,102,1,9,3,47,66,1,16.93
25,Female,Tier 2,Civil,4.99,285,0,5,5,64,87,1719,1,5,10,1,95,77,1,13.28
19,Female,Tier 1,Information Technology,7.54,187,1,4,12,94,54,1671,301,5,2,10,87,53,1,11.7
23,Female,Tier 3,Information Technology,7.45,181,2,2,10,85,45,1152,186,4,9,7,86,77,1,12.35
20,Other,Tier 3,Information Technology,7.27,178,4,8,2,81,89,1617,146,8,6,1,68,74,1,16.49
20,Male,Tier 2,Data Science,6.69,209,1,3,3,49,44,1107,84,4,2,9,94,39,1,11.41
23,Other,Tier 1,Mechanical,7.96,111,0,2,12,89,56,1754,228,7,1,7,68,65,1,11.49
25,Other,Tier 2,Information Technology,9.08,133,2,3,9,55,74,1014,0,7,4,6,88,91,1,16.86
25,Female,Tier 3,Civil,7.85,241,1,2,4,91,52,1547,29,4,1,8,100,82,1,16.17
19,Other,Tier 3,Data Science,7.33,266,0,1,3,57,92,1704,158,8,3,7,50,63,1,11.21
25,Female,Tier 3,Mechanical,6.41,320,0,8,6,55,84,2108,227,1,6,4,46,75,1,14.11
19,Other,Tier 3,Data Science,6.69,101,0,0,5,98,95,1405,124,2,8,8,84,35,1,13.94
19,Male,Tier 2,Data Science,5.51,479,0,9,9,67,49,1394,85,4,4,5,52,41,1,7.58
21,Female,Tier 3,Civil,5.55,373,1,1,8,78,37,1475,16,8,10,4,90,53,1,9.55
22,Female,Tier 1,Electronics,6.86,500,0,6,3,82,45,1359,0,8,6,2,78,99,1,10.8
18,Female,Tier 3,Computer Science,6.93,0,2,5,5,87,37,1430,101,5,2,6,60,48,1,12.94
23,Male,Tier 1,Civil,9.05,418,1,10,3,93,94,1355,31,7,3,3,49,93,1,17.99
18,Female,Tier 2,Data Science,7.26,252,0,0,6,99,74,1441,135,8,7,9,75,67,1,11.62
18,Other,Tier 1,Electronics,6.63,167,3,0,11,61,69,1438,76,1,6,7,70,91,1,11.78
24,Female,Tier 3,Mechanical,7.31,211,2,5,9,57,45,1976,0,6,2,7,83,58,1,14.03
22,Female,Tier 1,Electronics,8.45,0,2,4,8,78,89,1330,90,2,8,6,73,40,1,11.74
23,Other,Tier 3,Electronics,6.42,83,2,0,2,82,86,2063,194,5,9,3,46,53,1,15.78
25,Male,Tier 1,AI/ML,7.92,80,2,5,6,64,39,1266,159,2,8,6,68,91,1,11.69
19,Other,Tier 1,Electronics,7.91,213,1,10,5,55,49,1318,176,0,3,8,78,84,1,12.82
19,Female,Tier 3,Information Technology,6.84,423,1,9,5,84,97,1071,169,3,2,3,99,44,1,11.96
25,Male,Tier 3,Mechanical,6.89,298,4,10,6,82,79,1012,193,1,9,9,63,73,1,14.64
20,Other,Tier 3,Information Technology,6.68,407,2,5,9,54,50,1203,7,3,3,4,95,98,1,8.53
18,Female,Tier 3,Electronics,7.81,57,1,8,3,79,46,2064,0,1,5,7,90,96,1,15.84
24,Female,Tier 3,Computer Science,7.41,235,0,5,11,44,92,1259,151,7,9,6,53,58,1,12.55
20,Female,Tier 2,Data Science,8.3,267,0,1,9,49,73,1502,90,2,3,6,90,63,1,11.43
23,Other,Tier 3,Data Science,7.51,0,0,3,11,75,70,978,179,2,5,10,79,46,1,11.85
20,Other,Tier 3,AI/ML,7.02,252,0,9,12,97,78,1571,76,0,1,2,47,68,1,8.36
21,Other,Tier 2,Information Technology,7.4,103,0,10,9,58,73,1592,0,7,4,7,64,93,1,13.18
19,Other,Tier 1,Mechanical,7.67,288,1,7,4,61,53,1793,253,5,6,6,70,51,1,14.66
23,Other,Tier 3,Electronics,5.36,58,0,1,5,68,66,1231,122,2,2,1,63,84,1,9.92
24,Male,Tier 3,AI/ML,6.47,278,3,9,12,60,59,1185,71,2,8,9,74,98,1,10.86
22,Female,Tier 1,Mechanical,6.28,47,1,3,4,77,80,1108,204,0,1,5,76,95,1,8.13
22,Other,Tier 1,Computer Science,9.83,323,1,4,12,63,86,1514,51,5,1,7,48,59,1,14.26
23,Other,Tier 2,Mechanical,6.62,268,1,8,5,92,50,2346,112,2,2,7,68,78,1,12.89
23,Male,Tier 1,Civil,6.5,244,1,0,1,42,52,2069,69,5,8,9,74,54,1,15.92
20,Female,Tier 3,Electronics,7.91,165,0,9,12,93,73,1671,197,5,9,9,79,97,1,14.27
22,Female,Tier 3,Electronics,5.63,140,1,1,7,77,74,1363,114,0,10,8,61,64,1,13.45
18,Other,Tier 2,Civil,7.38,49,2,9,7,49,66,1583,168,0,10,2,57,37,1,15.42
25,Female,Tier 2,Mechanical,8.28,375,2,6,9,89,95,1610,114,0,3,9,58,76,1,9.6
25,Other,Tier 2,AI/ML,7.63,281,1,8,6,74,80,1545,17,4,10,8,57,66,1,11.64
22,Other,Tier 2,Electronics,8.25,244,2,3,12,85,97,1688,122,5,8,6,80,70,1,14.46
22,Male,Tier 3,Civil,8.14,172,1,6,6,89,53,1483,83,4,1,5,90,45,1,10.64
23,Female,Tier 3,Information Technology,6.89,283,1,3,9,57,69,1282,220,2,2,10,92,65,1,9.02
21,Male,Tier 3,Civil,7.01,184,0,3,1,46,87,1956,135,5,8,2,88,52,1,14.07
18,Other,Tier 3,AI/ML,5.71,290,1,7,8,81,60,1761,126,4,6,5,86,42,1,13.2
19,Other,Tier 3,Civil,6.68,461,2,0,3,66,57,2254,90,0,7,8,56,72,1,11.95
18,Male,Tier 2,Civil,8.65,486,0,5,5,69,98,1266,86,2,9,8,62,59,1,13.06
19,Female,Tier 1,Mechanical,5.86,112,2,2,1,87,78,1098,58,4,10,4,56,86,1,13.02
24,Other,Tier 2,Mechanical,7.43,482,2,2,3,70,76,1100,198,3,1,5,69,65,1,11.22
25,Female,Tier 3,Electronics,7.15,351,2,9,1,56,81,1057,150,3,1,2,74,74,1,11.75
20,Female,Tier 3,Information Technology,7.69,293,2,1,11,98,72,2309,68,5,10,4,59,52,1,13.49
25,Male,Tier 2,Civil,6.58,166,1,8,8,88,62,1226,215,3,10,2,78,92,1,15.81
23,Male,Tier 3,Computer Science,6.63,125,0,8,9,52,54,1614,75,2,6,9,73,49,1,12.37
21,Other,Tier 3,Computer Science,7.4,22,3,7,1,69,51,1991,263,8,7,8,81,42,1,12.89
25,Other,Tier 3,Information Technology,6.81,292,0,4,1,87,62,1567,172,1,1,7,67,43,1,13.77
18,Male,Tier 3,Mechanical,7.02,130,0,6,3,89,52,967,61,6,6,7,73,83,1,11.35
24,Male,Tier 3,Information Technology,8.99,172,3,2,11,95,79,1528,118,1,3,9,70,51,1,16.57
21,Male,Tier 3,Electronics,9.73,170,1,8,7,74,83,1278,203,3,4,8,67,54,1,15.05
22,Male,Tier 3,Information Technology,9.05,337,2,0,11,66,37,1324,167,3,4,2,51,39,1,16.06
25,Other,Tier 3,Data Science,8.02,326,0,0,7,68,64,1823,213,8,4,1,53,99,1,14.38
22,Male,Tier 3,Information Technology,7.85,224,2,9,10,89,76,1501,216,3,5,3,87,63,1,11.55
24,Female,Tier 2,Civil,7.57,190,3,2,11,83,89,1460,222,8,8,1,67,83,1,14.94
23,Other,Tier 2,AI/ML,7.25,46,1,2,9,70,65,1711,171,3,5,3,96,94,1,16.33
18,Other,Tier 2,Mechanical,6.89,282,2,2,7,55,67,1537,246,3,6,2,73,82,1,12.52
19,Other,Tier 3,AI/ML,7.48,341,0,6,11,78,40,1515,84,1,4,10,91,62,1,11.57
25,Male,Tier 3,Electronics,8.27,96,1,0,4,99,59,1496,63,1,8,4,89,61,1,16.11
24,Male,Tier 3,Data Science,5.68,166,1,7,9,81,80,1582,245,4,5,6,77,98,1,10.61
25,Male,Tier 3,Information Technology,6.64,532,1,5,4,63,75,943,0,6,1,10,100,63,1,11.19
20,Male,Tier 2,Civil,6.7,96,2,6,5,49,60,1697,139,5,4,7,81,66,1,10.83
25,Other,Tier 3,Information Technology,5.92,380,1,7,12,81,97,1677,112,7,3,6,55,52,1,14.03
25,Male,Tier 3,Civil,6.13,21,4,0,9,42,44,1207,116,0,1,7,53,64,1,12.49
19,Other,Tier 1,AI/ML,6.96,302,1,5,1,79,96,1011,235,7,1,1,79,87,1,10.4
18,Male,Tier 2,Electronics,8.32,301,1,4,1,72,90,1609,165,2,2,2,78,54,1,12.85
21,Male,Tier 3,Electronics,7.84,449,3,4,7,45,82,1518,176,6,8,10,60,63,1,14.59
22,Other,Tier 3,Computer Science,8.64,148,2,10,1,45,86,2080,116,6,7,9,75,42,1,11.55
18,Other,Tier 1,Mechanical,7.33,147,3,10,6,76,47,1744,67,8,1,4,58,95,1,11.37
22,Male,Tier 3,Information Technology,5.31,182,3,8,10,82,39,800,0,2,6,1,58,53,1,13.67
24,Male,Tier 2,Civil,7.99,313,0,6,11,97,77,1111,116,6,3,2,77,79,1,11.28
18,Male,Tier 2,Data Science,6.04,475,0,9,10,78,85,1757,102,5,1,5,95,92,1,9.19
25,Male,Tier 2,Mechanical,7.41,0,1,10,10,82,83,1363,65,1,10,5,96,66,1,11.62
19,Male,Tier 2,Mechanical,6.92,519,2,10,3,87,84,1674,74,5,6,2,50,35,1,13.88
22,Female,Tier 2,Electronics,8.6,388,0,1,3,67,92,1470,68,8,9,9,71,48,1,14.98
18,Male,Tier 2,Computer Science,7.59,384,2,5,7,40,72,1672,203,6,7,2,91,66,1,12.5
20,Other,Tier 2,AI/ML,8.52,279,1,4,8,49,43,2176,64,2,7,5,71,73,1,17.09
25,Male,Tier 2,AI/ML,7.4,152,2,7,10,79,60,1280,94,7,2,3,64,35,1,12.77
24,Female,Tier 3,Mechanical,7.72,163,3,5,8,61,90,1441,291,2,5,6,83,60,1,17.23
25,Female,Tier 1,Mechanical,7.64,255,4,4,12,84,97,1492,169,3,6,7,62,85,1,12.67
23,Male,Tier 3,AI/ML,6.94,0,2,8,3,83,38,1589,171,7,4,8,96,72,1,11.19
19,Female,Tier 3,AI/ML,8.77,66,2,3,5,82,54,937,137,6,7,2,73,96,1,16.61
24,Other,Tier 2,Data Science,8.88,181,2,8,1,90,81,1827,116,8,10,2,51,66,1,15.16
23,Male,Tier 3,Computer Science,8.08,347,2,10,11,81,86,898,238,5,7,2,45,47,1,16.72
22,Male,Tier 2,Civil,6.57,309,2,9,4,68,82,1622,140,6,8,10,89,99,1,11.96
20,Female,Tier 3,Mechanical,6.53,246,0,6,2,47,53,1860,163,5,5,6,74,61,1,9.98
25,Female,Tier 2,Mechanical,7.97,0,2,7,6,44,73,1852,0,0,2,1,99,78,1,11.65
19,Other,Tier 3,Information Technology,6.08,55,0,2,9,50,77,1856,82,8,7,8,59,86,1,11.66
20,Male,Tier 3,Mechanical,7.15,321,1,9,4,68,89,1476,17,6,1,4,58,70,1,12.71
19,Other,Tier 1,Data Science,6.71,16,1,5,6,52,93,1300,240,1,5,8,78,75,1,13.27
24,Other,Tier 2,Computer Science,6.85,197,1,7,10,51,73,1337,286,1,3,6,52,65,1,11.84
22,Male,Tier 1,Information Technology,7.63,404,0,6,7,78,52,1533,99,6,7,3,76,57,1,11.81
20,Female,Tier 2,AI/ML,7.13,244,1,7,10,43,80,1704,124,0,8,3,57,84,1,14.27
25,Female,Tier 3,Mechanical,7.12,261,2,7,8,50,45,800,193,0,4,5,47,70,1,12.99
21,Other,Tier 2,Data Science,8.2,0,1,7,9,72,49,2180,108,1,5,9,97,81,1,14.98
18,Other,Tier 2,AI/ML,6.16,341,4,1,12,93,66,1081,70,4,1,8,61,79,1,15.86
19,Female,Tier 3,Computer Science,7.01,282,2,3,4,91,79,1754,159,6,3,10,53,61,1,12.21
21,Male,Tier 3,Civil,7.56,610,1,8,3,60,72,1429,136,4,10,5,99,100,1,15.85
19,Male,Tier 3,Data Science,8.31,428,1,0,5,95,51,1673,28,2,4,3,90,76,1,15.81
21,Other,Tier 2,AI/ML,6.05,295,2,4,11,66,83,1186,114,7,2,2,70,100,1,11.5
22,Other,Tier 3,Electronics,7.52,313,1,7,6,77,35,2014,156,1,8,6,99,43,1,12.63
24,Male,Tier 3,Data Science,8.16,428,0,4,6,93,71,1020,167,5,9,10,53,97,1,14.63
23,Other,Tier 3,Computer Science,6.9,456,0,7,1,47,55,1397,130,7,8,1,72,60,1,11.57
20,Other,Tier 2,Data Science,7.22,85,3,4,2,81,81,945,247,4,2,6,87,56,1,10.78
18,Female,Tier 3,Information Technology,6.21,0,2,3,7,81,46,1226,14,1,1,4,75,44,1,13.95
20,Other,Tier 2,Information Technology,8.21,146,1,0,12,61,50,2238,198,6,3,8,49,64,1,11.52
24,Male,Tier 3,Computer Science,4.7,593,0,5,5,48,83,963,0,2,3,2,78,36,1,10.71
20,Female,Tier 2,AI/ML,9.64,457,2,2,7,79,91,1647,167,3,2,2,53,50,1,15.42
24,Female,Tier 3,Electronics,7.96,292,2,3,5,81,45,1486,114,3,9,10,83,71,1,12.96
18,Other,Tier 3,AI/ML,6.92,0,1,8,4,87,85,1415,40,4,1,4,76,84,1,8.33
19,Male,Tier 2,Civil,7.38,458,0,0,6,99,75,1771,0,2,7,10,71,81,1,10.02
20,Female,Tier 3,Data Science,8.14,102,0,9,2,40,68,1371,164,3,1,1,95,85,1,8.88
22,Other,Tier 3,Data Science,7.31,49,1,6,2,80,54,1239,145,4,2,5,50,100,1,7.96
21,Male,Tier 2,Mechanical,7.64,247,2,10,11,81,43,1643,137,4,7,4,48,66,1,16.34
19,Female,Tier 1,Civil,7.33,185,2,4,11,87,57,1492,163,1,1,3,89,36,1,11.66
20,Female,Tier 3,Civil,7.24,144,1,4,3,63,51,1217,7,4,2,1,66,89,1,14.59
22,Other,Tier 1,Information Technology,5.96,146,4,10,2,71,93,1198,191,8,6,1,76,56,1,12.78
23,Male,Tier 2,Computer Science,8.45,148,3,10,12,47,64,1547,53,8,1,1,99,36,1,17.45
21,Male,Tier 2,Mechanical,6.01,296,3,2,1,75,88,1671,153,3,6,4,71,75,1,12.34
22,Male,Tier 3,Computer Science,7.07,256,1,0,3,54,40,1398,197,6,2,8,100,71,1,15.38
22,Female,Tier 1,Mechanical,6.64,44,0,3,5,76,73,1419,326,3,8,6,82,98,1,10.1
21,Other,Tier 3,Data Science,8.84,501,2,2,1,99,87,1256,165,0,4,9,67,36,1,16.93
23,Male,Tier 3,Mechanical,6.82,219,3,4,2,53,65,1246,38,6,8,1,54,70,1,12.66
19,Male,Tier 3,Data Science,5.98,255,1,5,8,87,45,1180,138,1,9,3,85,85,1,9.07
19,Other,Tier 3,Mechanical,7.53,375,2,2,4,58,68,800,149,5,7,6,65,92,1,15.98
22,Male,Tier 1,AI/ML,5.99,500,0,9,2,49,48,1596,63,2,8,8,65,87,1,11.08
19,Other,Tier 2,Data Science,7.76,261,0,4,8,56,50,1638,46,1,3,5,97,40,1,11.45
21,Female,Tier 1,Information Technology,5.79,233,0,5,7,72,41,1133,61,4,5,3,46,86,1,12.6
25,Other,Tier 3,AI/ML,8.29,341,0,1,3,47,36,1067,94,0,4,3,57,86,1,14.26
23,Other,Tier 3,Information Technology,7.34,597,0,9,5,98,44,1587,135,0,2,4,86,91,1,9.85
